行番号	アクセス修飾子	クラス名	メソッド名	仮引数の変数名リスト	可変長引数があるか	型パラメータリスト	型パラメータ記号リスト	定数名	引数の個数	引数の型リスト	戻り値の型
00010-00246	public	org.chasen.mecab.MeCabJNI	Lattice_enumNBestAsString	arg0,arg1,arg2	false			N/A	3	long,org.chasen.mecab.Lattice	java.lang.String
00010-00247	public	org.chasen.mecab.MeCabJNI	Lattice_set_what	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Lattice	void
00010-00248	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_lsize_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	long
00010-00249	public	org.chasen.mecab.MeCabJNI	Tagger_parseNBestInit	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Tagger	boolean
00010-00250	public	org.chasen.mecab.MeCabJNI	Lattice_eos_node	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	long
00010-00251	public	org.chasen.mecab.MeCabJNI	Node_stat_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	short
00010-00252	public	org.chasen.mecab.MeCabJNI	MECAB_INSIDE_TOKEN_get		false			N/A	0		int
00010-00253	public	org.chasen.mecab.MeCabJNI	hashCode		false			N/A	0		int
00010-00254	public	org.chasen.mecab.MeCabJNI	Node_prob_set	arg0,arg1,arg2	false			N/A	3	float,long,org.chasen.mecab.Node	void
00010-00255	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_charset_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	java.lang.String
00010-00256	public	org.chasen.mecab.MeCabJNI	Node_prob_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	float
00010-00257	public	org.chasen.mecab.MeCabJNI	Model_swap	arg0,arg1,arg2,arg3	false			N/A	4	long,org.chasen.mecab.Model	boolean
00010-00258	public	org.chasen.mecab.MeCabJNI	Tagger_set_all_morphs	arg0,arg1,arg2	false			N/A	3	boolean,long,org.chasen.mecab.Tagger	void
00010-00259	public	org.chasen.mecab.MeCabJNI	delete_Tagger	arg0	false			N/A	1	long	void
