type	name	mode	prot	user	group	size	last-modified	directories	files
link	/etc/alternatives/convert.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/cpp	0777	lrwxrwxrwx	root	root	12	2020-08-14T21:52:10		
link	/etc/alternatives/default.plymouth	0777	lrwxrwxrwx	root	root	45	2020-08-14T21:52:10		
link	/etc/alternatives/display	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/display-im6	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/display-im6.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/display.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/ebtables	0777	lrwxrwxrwx	root	root	22	2020-08-14T21:52:10		
link	/etc/alternatives/ebtables-restore	0777	lrwxrwxrwx	root	root	30	2020-08-14T21:52:10		
link	/etc/alternatives/ebtables-save	0777	lrwxrwxrwx	root	root	27	2020-08-14T21:52:10		
link	/etc/alternatives/editor	0777	lrwxrwxrwx	root	root	9	2020-08-14T21:52:10		
link	/etc/alternatives/editor.1.gz	0777	lrwxrwxrwx	root	root	29	2020-08-14T21:52:10		
link	/etc/alternatives/ex	0777	lrwxrwxrwx	root	root	17	2020-08-14T21:52:10		
link	/etc/alternatives/ex.1.gz	0777	lrwxrwxrwx	root	root	28	2020-08-14T21:52:10		
link	/etc/alternatives/ex.da.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.de.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.fr.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.it.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.ja.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.pl.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/ex.ru.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/from	0777	lrwxrwxrwx	root	root	17	2020-08-14T21:52:10		
link	/etc/alternatives/from.1.gz	0777	lrwxrwxrwx	root	root	33	2020-08-14T21:52:10		
link	/etc/alternatives/ftp	0777	lrwxrwxrwx	root	root	19	2020-08-14T21:52:10		
link	/etc/alternatives/ftp.1.gz	0777	lrwxrwxrwx	root	root	35	2020-08-14T21:52:10		
link	/etc/alternatives/futurize	0777	lrwxrwxrwx	root	root	25	2020-08-14T21:52:10		
link	/etc/alternatives/gdm3-theme.gresource	0777	lrwxrwxrwx	root	root	61	2020-08-14T21:52:10		
link	/etc/alternatives/global-assembly-cache-tool	0777	lrwxrwxrwx	root	root	16	2020-08-29T20:41:06		
