type	name	mode	prot	user	group
file	/bin/dbus-cleanup-sockets	0755	-rwxr-xr-x	root	root
file	/bin/dbus-daemon	0755	-rwxr-xr-x	root	root
file	/bin/dbus-launch	0755	-rwxr-xr-x	root	root
file	/bin/dbus-monitor	0755	-rwxr-xr-x	root	root
file	/bin/dbus-run-session	0755	-rwxr-xr-x	root	root
file	/bin/dbus-send	0755	-rwxr-xr-x	root	root
file	/bin/dbus-update-activation-environment	0755	-rwxr-xr-x	root	root
file	/bin/dbus-uuidgen	0755	-rwxr-xr-x	root	root
file	/bin/dc	0755	-rwxr-xr-x	root	root
file	/bin/dconf	0755	-rwxr-xr-x	root	root
file	/bin/dd	0755	-rwxr-xr-x	root	root
file	/bin/ddstdecode	0755	-rwxr-xr-x	root	root
file	/bin/deallocvt	0755	-rwxr-xr-x	root	root
file	/bin/deb-systemd-helper	0755	-rwxr-xr-x	root	root
file	/bin/deb-systemd-invoke	0755	-rwxr-xr-x	root	root
file	/bin/debconf	0755	-rwxr-xr-x	root	root
file	/bin/debconf-apt-progress	0755	-rwxr-xr-x	root	root
file	/bin/debconf-communicate	0755	-rwxr-xr-x	root	root
file	/bin/debconf-copydb	0755	-rwxr-xr-x	root	root
file	/bin/debconf-escape	0755	-rwxr-xr-x	root	root
file	/bin/debconf-gettextize	0755	-rwxr-xr-x	root	root
file	/bin/debconf-set-selections	0755	-rwxr-xr-x	root	root
file	/bin/debconf-show	0755	-rwxr-xr-x	root	root
file	/bin/debconf-updatepo	0755	-rwxr-xr-x	root	root
file	/bin/deja-dup	0755	-rwxr-xr-x	root	root
file	/bin/delpart	0755	-rwxr-xr-x	root	root
file	/bin/delv	0755	-rwxr-xr-x	root	root
file	/bin/derb	0755	-rwxr-xr-x	root	root
link	/bin/desktop-file-edit	0777	lrwxrwxrwx	root	root
file	/bin/desktop-file-install	0755	-rwxr-xr-x	root	root
file	/bin/desktop-file-validate	0755	-rwxr-xr-x	root	root
file	/bin/detex	0755	-rwxr-xr-x	root	root
file	/bin/devdump	0755	-rwxr-xr-x	root	root
file	/bin/devnag	0755	-rwxr-xr-x	root	root
file	/bin/df	0755	-rwxr-xr-x	root	root
file	/bin/dfu-tool	0755	-rwxr-xr-x	root	root
file	/bin/dh	0755	-rwxr-xr-x	root	root
file	/bin/dh_auto_build	0755	-rwxr-xr-x	root	root
file	/bin/dh_auto_clean	0755	-rwxr-xr-x	root	root
file	/bin/dh_auto_configure	0755	-rwxr-xr-x	root	root
file	/bin/dh_auto_install	0755	-rwxr-xr-x	root	root
file	/bin/dh_auto_test	0755	-rwxr-xr-x	root	root
file	/bin/dh_autoreconf	0755	-rwxr-xr-x	root	root
file	/bin/dh_autoreconf_clean	0755	-rwxr-xr-x	root	root
file	/bin/dh_autotools-dev_restoreconfig	0755	-rwxr-xr-x	root	root
file	/bin/dh_autotools-dev_updateconfig	0755	-rwxr-xr-x	root	root
file	/bin/dh_bash-completion	0755	-rwxr-xr-x	root	root
file	/bin/dh_bugfiles	0755	-rwxr-xr-x	root	root
file	/bin/dh_builddeb	0755	-rwxr-xr-x	root	root
file	/bin/dh_clean	0755	-rwxr-xr-x	root	root
file	/bin/dh_compress	0755	-rwxr-xr-x	root	root
file	/bin/dh_dwz	0755	-rwxr-xr-x	root	root
file	/bin/dh_fixperms	0755	-rwxr-xr-x	root	root
file	/bin/dh_gconf	0755	-rwxr-xr-x	root	root
file	/bin/dh_gencontrol	0755	-rwxr-xr-x	root	root
file	/bin/dh_icons	0755	-rwxr-xr-x	root	root
file	/bin/dh_install	0755	-rwxr-xr-x	root	root
file	/bin/dh_installcatalogs	0755	-rwxr-xr-x	root	root
file	/bin/dh_installchangelogs	0755	-rwxr-xr-x	root	root
file	/bin/dh_installcron	0755	-rwxr-xr-x	root	root
file	/bin/dh_installdeb	0755	-rwxr-xr-x	root	root
file	/bin/dh_installdebconf	0755	-rwxr-xr-x	root	root
file	/bin/dh_installdirs	0755	-rwxr-xr-x	root	root
file	/bin/dh_installdocs	0755	-rwxr-xr-x	root	root
file	/bin/dh_installemacsen	0755	-rwxr-xr-x	root	root
file	/bin/dh_installexamples	0755	-rwxr-xr-x	root	root
file	/bin/dh_installgsettings	0755	-rwxr-xr-x	root	root
file	/bin/dh_installifupdown	0755	-rwxr-xr-x	root	root
file	/bin/dh_installinfo	0755	-rwxr-xr-x	root	root
file	/bin/dh_installinit	0755	-rwxr-xr-x	root	root
file	/bin/dh_installinitramfs	0755	-rwxr-xr-x	root	root
file	/bin/dh_installlogcheck	0755	-rwxr-xr-x	root	root
file	/bin/dh_installlogrotate	0755	-rwxr-xr-x	root	root
file	/bin/dh_installman	0755	-rwxr-xr-x	root	root
file	/bin/dh_installmanpages	0755	-rwxr-xr-x	root	root
file	/bin/dh_installmenu	0755	-rwxr-xr-x	root	root
file	/bin/dh_installmime	0755	-rwxr-xr-x	root	root
file	/bin/dh_installmodules	0755	-rwxr-xr-x	root	root
file	/bin/dh_installpam	0755	-rwxr-xr-x	root	root
file	/bin/dh_installppp	0755	-rwxr-xr-x	root	root
file	/bin/dh_installsystemd	0755	-rwxr-xr-x	root	root
file	/bin/dh_installsystemduser	0755	-rwxr-xr-x	root	root
file	/bin/dh_installtex	0755	-rwxr-xr-x	root	root
file	/bin/dh_installtmpfiles	0755	-rwxr-xr-x	root	root
file	/bin/dh_installudev	0755	-rwxr-xr-x	root	root
file	/bin/dh_installwm	0755	-rwxr-xr-x	root	root
file	/bin/dh_installxfonts	0755	-rwxr-xr-x	root	root
file	/bin/dh_installxmlcatalogs	0755	-rwxr-xr-x	root	root
file	/bin/dh_link	0755	-rwxr-xr-x	root	root
file	/bin/dh_lintian	0755	-rwxr-xr-x	root	root
file	/bin/dh_listpackages	0755	-rwxr-xr-x	root	root
file	/bin/dh_makeshlibs	0755	-rwxr-xr-x	root	root
file	/bin/dh_md5sums	0755	-rwxr-xr-x	root	root
file	/bin/dh_missing	0755	-rwxr-xr-x	root	root
file	/bin/dh_movefiles	0755	-rwxr-xr-x	root	root
file	/bin/dh_perl	0755	-rwxr-xr-x	root	root
file	/bin/dh_perl_openssl	0755	-rwxr-xr-x	root	root
