name	version	resolved	integrity	requires	depend_on_name	depend_on_version	depend_on_resolved	depend_on_integrity	depend_on_requires
css-has-pseudo	0.10.0	https://registry.npmjs.org/css-has-pseudo/-/css-has-pseudo-0.10.0.tgz	sha512-Z8hnfsZu4o/kt+AuFzeGpLVhFOGO9mluyHBaA2bA8aCGTwah5sT3WV/fTHH8UNZUytOIImuGPrl/prlb4oX4qQ==		postcss-selector-parser	5.0.0	https://registry.npmjs.org/postcss-selector-parser/-/postcss-selector-parser-5.0.0.tgz	sha512-w+zLE5Jhg6Liz8+rQOWEAwtwkyqpfnmsinXjXg6cY7YIONZZtgvE0v2O0uhQBs0peNomOJwWRKt6JBfTdTd3OQ==	cssesc:^2.0.0,indexes-of:^1.0.1,uniq:^1.0.1
browserify-zlib	0.2.0	https://registry.npmjs.org/browserify-zlib/-/browserify-zlib-0.2.0.tgz	sha512-Z942RysHXmJrhqk88FmKBVq/v5tqmSkDz7p54G/MGyjMnCFFnC79XWNbg+Vta8W6Wb2qtSZTSxIGkJrRpCFEiA==	pako:~1.0.5					
postcss-color-functional-notation	2.0.1	https://registry.npmjs.org/postcss-color-functional-notation/-/postcss-color-functional-notation-2.0.1.tgz	sha512-ZBARCypjEDofW4P6IdPVTLhDNXPRn8T2s1zHbZidW6rPaaZvcnCS2soYFIQJrMZSxiePJ2XIYTlcb2ztr/eT2g==	postcss:^7.0.2,postcss-values-parser:^2.0.0					
@babel/template	7.10.4	https://registry.npmjs.org/@babel/template/-/template-7.10.4.tgz	sha512-ZCjD27cGJFUB6nmCB1Enki3r+L5kJveX9pq1SvAUKoICy6CZ9yD8xO086YXdYhvNjBdnekm4ZnaP5yC8Cs/1tA==	@babel/code-frame:^7.10.4,@babel/parser:^7.10.4,@babel/types:^7.10.4					
@babel/plugin-transform-dotall-regex	7.10.4	https://registry.npmjs.org/@babel/plugin-transform-dotall-regex/-/plugin-transform-dotall-regex-7.10.4.tgz	sha512-ZEAVvUTCMlMFAbASYSVQoxIbHm2OkG2MseW6bV2JjIygOjdVv8tuxrCTzj1+Rynh7ODb8GivUy7dzEXzEhuPaA==	@babel/helper-create-regexp-features-plugin:^7.10.4,@babel/helper-plugin-utils:^7.10.4					
is-binary-path	2.1.0	https://registry.npmjs.org/is-binary-path/-/is-binary-path-2.1.0.tgz	sha512-ZMERYes6pDydyuGidse7OsHxtbI7WVeUEozgR/g7rd0xUimYNlvZRE/K2MgZTjWy725IfelLeVcEM97mmtRGXw==	binary-extensions:^2.0.0					
vue-no-ssr	1.1.1	https://registry.npmjs.org/vue-no-ssr/-/vue-no-ssr-1.1.1.tgz	sha512-ZMjqRpWabMPqPc7gIrG0Nw6vRf1+itwf0Itft7LbMXs2g3Zs/NFmevjZGN1x7K3Q95GmIjWbQZTVerxiBxI+0g==						
console-browserify	1.2.0	https://registry.npmjs.org/console-browserify/-/console-browserify-1.2.0.tgz	sha512-ZMkYO/LkF17QvCPqM0gxw8yUzigAOZOSWSHg91FH6orS7vcEj5dVZTidN2fQ14yBSdg97RqhSNwLUXInd52OTA==						
postcss-discard-duplicates	4.0.2	https://registry.npmjs.org/postcss-discard-duplicates/-/postcss-discard-duplicates-4.0.2.tgz	sha512-ZNQfR1gPNAiXZhgENFfEglF93pciw0WxMkJeVmw8eF+JZBbMD7jp6C67GqJAXVZP2BWbOztKfbsdmMp/k8c6oQ==	postcss:^7.0.0					
is-docker	2.1.1	https://registry.npmjs.org/is-docker/-/is-docker-2.1.1.tgz	sha512-ZOoqiXfEwtGknTiuDEy8pN2CfE3TxMHprvNer1mXiqwkOT77Rw3YVrUQ52EqAOU3QAWDQ+bQdx7HJzrv7LS2Hw==						
